Simulation Results

planeCapacity,numberOfRows,spaceBetweenRows,seatsInHalfRow,numberOfPassengers,random result,aisle_to_window result,window_to_isle result,front_to_back result,back_to_front result,bestSeatingMode
68,17,3,2,34,109,100,86,132,74,"back_to_front"
68,17,3,2,51,145,135,116,170,84,"back_to_front"
68,17,3,2,68,164,155,144,260,102,"back_to_front"
102,17,3,3,25,95,115,64,117,60,"back_to_front"
102,17,3,3,50,118,143,107,205,85,"back_to_front"
102,17,3,3,75,171,219,139,302,139,"window_to_isle"
102,17,3,3,100,230,243,195,471,226,"window_to_isle"
136,17,3,4,34,107,92,97,140,70,"back_to_front"
170,17,3,5,42,116,120,80,160,74,"back_to_front"
68,17,4,2,17,75,95,58,103,56,"back_to_front"
68,17,4,2,34,109,103,114,130,78,"back_to_front"
68,17,4,2,51,118,150,136,183,97,"back_to_front"
68,17,4,2,68,172,170,144,261,100,"back_to_front"
102,17,4,3,25,103,97,96,123,56,"back_to_front"
102,17,4,3,75,185,217,137,284,111,"back_to_front"
102,17,4,3,100,261,219,178,407,176,"back_to_front"
136,17,4,4,34,106,133,105,170,94,"back_to_front"
170,17,4,5,42,104,115,118,211,96,"back_to_front"
68,17,5,2,17,115,36,32,124,102,"window_to_isle"
68,17,5,2,34,110,140,105,142,81,"back_to_front"
68,17,5,2,51,139,148,144,195,97,"back_to_front"
68,17,5,2,68,178,188,155,260,109,"back_to_front"
102,17,5,3,25,136,108,73,154,60,"back_to_front"
102,17,5,3,50,133,177,142,204,113,"back_to_front"
102,17,5,3,75,192,202,148,332,118,"back_to_front"
102,17,5,3,100,248,273,179,455,138,"back_to_front"
136,17,5,4,34,99,141,111,104,92,"back_to_front"
136,17,5,4,68,165,194,148,307,136,"back_to_front"
76,19,1,2,19,64,61,69,96,50,"back_to_front"
76,19,1,2,38,96,115,91,170,66,"back_to_front"
76,19,1,2,57,138,155,113,266,172,"window_to_isle"
76,19,1,2,76,176,186,139,354,253,"window_to_isle"
114,19,1,3,28,76,99,72,141,43,"back_to_front"
114,19,1,3,56,142,188,113,270,149,"window_to_isle"
114,19,1,3,84,229,247,152,429,313,"window_to_isle"
114,19,1,3,112,286,339,194,602,492,"window_to_isle"
152,19,1,4,38,114,128,86,170,65,"back_to_front"
152,19,1,4,76,188,237,153,384,275,"window_to_isle"
152,19,1,4,114,345,386,190,646,515,"window_to_isle"
152,19,1,4,152,427,587,246,887,842,"window_to_isle"
190,19,1,5,47,126,134,104,259,102,"back_to_front"
76,19,2,2,19,62,68,71,88,65,"random"
76,19,2,2,38,107,111,99,158,76,"back_to_front"
76,19,2,2,57,136,132,111,223,92,"back_to_front"
76,19,2,2,76,176,185,146,285,146,"window_to_isle"
114,19,2,3,28,78,99,79,117,70,"back_to_front"
114,19,2,3,56,144,142,125,229,118,"back_to_front"
114,19,2,3,84,213,230,142,322,187,"window_to_isle"
114,19,2,3,112,250,312,184,524,309,"window_to_isle"
152,19,2,4,38,99,120,90,147,75,"back_to_front"
76,19,3,2,19,98,89,72,89,52,"back_to_front"
76,19,3,2,38,116,114,99,163,78,"back_to_front"
76,19,3,2,57,124,151,135,212,85,"back_to_front"
76,19,3,2,76,152,184,128,286,121,"back_to_front"
114,19,3,3,28,71,95,80,146,72,"random"
